Datetime,PM_36,AOD_36,Temp_36,Humi_36,PM_36_r1,AOD_36_r1,Temp_36_r1,Humi_36_r1,PM_36_r2,AOD_36_r2,Temp_36_r2,Humi_36_r2,PM_36_r3,AOD_36_r3,Temp_36_r3,Humi_36_r3,PM_36_r4,AOD_36_r4,Temp_36_r4,Humi_36_r4,PM_36_r5,AOD_36_r5,Temp_36_r5,Humi_36_r5
2013-04-26,11.45833333,0.128027451,70.958333,54.25,11.45833333,0.128027451,70.958333,54.25,11.45833333,0.128027451,70.958333,54.25,11.45833333,0.128027451,70.958333,54.25,11.45833333,0.128027451,70.958333,54.25,11.45833333,0.128027451,70.958333,54.25
2013-04-27,8.666666667,0.148835258,72.916667,43.5,8.666666667,0.148835258,72.916667,43.5,8.666666667,0.148835258,72.916667,43.5,8.666666667,0.148835258,72.916667,43.5,8.666666667,0.148835258,72.916667,43.5,8.666666667,0.148835258,72.916667,43.5
2013-04-28,10.34782609,0.163008992,68.583333,59.5,10.34782609,0.163008992,68.583333,59.5,10.34782609,0.163008992,68.583333,59.5,10.34782609,0.163008992,68.583333,59.5,10.34782609,0.163008992,68.583333,59.5,10.34782609,0.163008992,68.583333,59.5
2013-04-29,12.45833333,0.184230185,65.708333,66.416667,12.45833333,0.184230185,65.708333,66.416667,12.45833333,0.184230185,65.708333,66.416667,12.45833333,0.184230185,65.708333,66.416667,12.45833333,0.184230185,65.708333,66.416667,12.45833333,0.184230185,65.708333,66.416667
2013-04-30,13.33333333,0.199219155,64.541667,72.458333,13.33333333,0.199219155,64.541667,72.458333,13.33333333,0.199219155,64.541667,72.458333,13.33333333,0.199219155,64.541667,72.458333,13.33333333,0.199219155,64.541667,72.458333,13.33333333,0.199219155,64.541667,72.458333
2013-05-01,13.16666667,0.190800697,64.041667,74,13.16666667,0.190800697,64.041667,74,13.16666667,0.190800697,64.041667,74,13.16666667,0.190800697,64.041667,74,13.16666667,0.190800697,64.041667,74,13.16666667,0.190800697,64.041667,74
2013-05-02,9.041666667,0.190800697,64.833333,77.541667,9.041666667,0.190800697,64.833333,77.541667,9.041666667,0.190800697,64.833333,77.541667,9.041666667,0.190800697,64.833333,77.541667,9.041666667,0.190800697,64.833333,77.541667,9.041666667,0.190800697,64.833333,77.541667
2013-05-03,5.166666667,0.202888186,65.75,77.541667,5.166666667,0.202888186,65.75,77.541667,5.166666667,0.202888186,65.75,77.541667,5.166666667,0.202888186,65.75,77.541667,5.166666667,0.202888186,65.75,77.541667,5.166666667,0.202888186,65.75,77.541667
2013-05-04,4.041666667,0.190800697,69.291667,71,4.041666667,0.190800697,69.291667,71,4.041666667,0.190800697,69.291667,71,4.041666667,0.190800697,69.291667,71,4.041666667,0.190800697,69.291667,71,4.041666667,0.190800697,69.291667,71
2013-05-05,7.041666667,0.174267818,70.666667,71.25,7.041666667,0.174267818,70.666667,71.25,7.041666667,0.174267818,70.666667,71.25,7.041666667,0.174267818,70.666667,71.25,7.041666667,0.174267818,70.666667,71.25,7.041666667,0.174267818,70.666667,71.25
